gene,gene_full,effect_size,cohens_d,pvalue,ecdna_pos_mean,ecdna_neg_mean,ecdna_pos_std,ecdna_neg_std,n_pos,n_neg,fdr,category,vulnerability_score,combined_rank
KRT40,KRT40 (125115),0.011334483365427,0.1286897331069126,0.8692100022669514,0.002283467533132,-0.0090510158322949,0.0896409945948563,0.0864827916366646,92,970,0.9999744867960496,Other,0.011871539,17074.0
TMEM50B,TMEM50B (757),0.0028773447415425,0.0235985585055352,0.7167312124786278,-0.2334078595671547,-0.2362852043086973,0.1210094924717786,0.1228412969776727,92,970,0.9999744867960496,Other,0.0017769703,17074.0
RIDA,RIDA (10247),0.0058052459343893,0.0447482292575342,0.5986508125558226,-0.0765847404279566,-0.0823899863623459,0.1342951611419446,0.1250009194470169,92,970,0.9752872800837088,Other,0.0050572376,17074.0
FNDC7,FNDC7 (163479),0.0002375024117197,0.0019683096647256,0.7494452710855509,-0.146095799025004,-0.1463333014367238,0.1230097322901252,0.1182699847953867,92,970,0.9999744867960496,Other,-0.0009836673,17075.0
AGPAT5,AGPAT5 (55326),-0.0072255511496094,-0.0548727968335386,0.1267539092475286,0.0376281344424092,0.0448536855920187,0.125489665435421,0.1375886656012716,92,970,0.7665405329511843,Other,-0.0082446225,17075.0
USP12,USP12 (219333),0.003676817293146,0.0323743991291684,0.5436856412193852,-0.0623205700074003,-0.0659973873005463,0.1127914991890456,0.1143466847566816,92,970,0.964138155755874,Other,0.0027011053,17076.0
TIGIT,TIGIT (201633),0.0105461639614884,0.1035867350738276,0.8509474072330683,-0.0557831327253134,-0.0663292966868018,0.1049710459685185,0.0985475807322157,92,970,0.9999744867960496,Other,0.010819184,17077.0
SEMA5B,SEMA5B (54437),-0.0034321886304799,-0.0329206597206529,0.3468267775706138,-0.0879121480003014,-0.0844799593698214,0.0950098125561338,0.1127471453711085,92,970,0.8970459825037832,Other,-0.004678511,17077.0
ZNF382,ZNF382 (84911),-0.0224109062005219,-0.2047799199032701,0.2015784326357501,-0.1080065478300116,-0.0855956416294897,0.1156919692794436,0.102806372872262,92,970,0.8147904437379867,Other,-0.018663308,17081.0
TMEM248,TMEM248 (55069),0.0113724781564361,0.1137716780273356,0.873983893616012,-0.0832538310785998,-0.0946263092350359,0.0974501708654808,0.1024059552698641,92,970,0.9999744867960496,Other,0.011890302,17081.0
KRT16,KRT16 (3868),-0.0111331334826542,-0.087862330733823,0.3006077276799774,-0.0180444276560068,-0.0069112941733525,0.1266166986029891,0.1268054517452993,92,970,0.8674634317347638,Other,-0.0114621045,17083.0
ACTR5,ACTR5 (79913),0.0136064062789377,0.0701560533968707,0.5914831006421669,-0.2307758741244737,-0.2443822804034114,0.180219203760905,0.2067613591255645,92,970,0.974293779626782,Other,0.015005872,17083.0
ADAMTSL4,ADAMTSL4 (54507),-0.0064238823419916,-0.0475992264688076,0.3252950408178188,-0.2187360504886235,-0.2123121681466318,0.1327519696798714,0.1371279642311722,92,970,0.8828866026484712,Other,-0.007592856,17083.0
ACAD9,ACAD9 (28976),0.0122774904553029,0.0821964841784495,0.8192380147498695,-0.2368791152690523,-0.2491566057243552,0.139982013891613,0.1581973057374663,92,970,0.9999744867960496,Other,0.013139618,17084.0
HNRNPA2B1,HNRNPA2B1 (3181),0.0106247366050851,0.0401154482848317,0.3929831966103007,-0.2692019239578556,-0.2798266605629408,0.2514287111488135,0.2776308286131198,92,970,0.9168207098569144,Other,0.01089955,17084.0
