gene,gene_full,effect_size,cohens_d,pvalue,ecdna_pos_mean,ecdna_neg_mean,ecdna_pos_std,ecdna_neg_std,n_pos,n_neg,fdr,category
OTULINL,OTULINL (54491),0.00057098972243598,0.00489466960344156,0.5281419460868554,0.03272404000267796,0.03215305028024198,0.12377535209795217,0.10907169535029704,92,970,0.9608878696897508,Other
LRRC20,LRRC20 (55222),0.000574269199650171,0.007341430231260926,0.35619453929820954,0.0066185916042701895,0.0060443224046200185,0.06982907216991174,0.08579975269032694,92,970,0.9006665502416069,Other
TBX20,TBX20 (57057),0.000575150666500629,0.005972427867358499,0.47879731502587564,0.0947358849204176,0.09416073425391697,0.08793756136223262,0.10399395865992868,92,970,0.9450859012832626,Other
KCNC3,KCNC3 (3748),0.0005777025292959294,0.006304520887729161,0.29924758479909913,-0.01501407684946437,-0.0155917793787603,0.08782956345928786,0.09528484918925159,92,970,0.8674634317347638,Other
SULF1,SULF1 (23213),0.0005810910636991355,0.006461470867683456,0.507590700404878,-0.0021025915047050846,-0.00268368256840422,0.08495663723969096,0.09464560922289722,92,970,0.9546699940853567,Other
VGF,VGF (7425),0.0005816490113079477,0.00430087514845042,0.40079916448864994,0.02032813241053522,0.01974648339922727,0.13862193884775537,0.13177065019327203,92,970,0.9188964145957269,Other
IL2,IL2 (3558),0.0005828709788237227,0.007319743233746671,0.48489224128611497,0.03952076743548768,0.038937896456663956,0.07132299592058801,0.0871487030482818,92,970,0.9476258951150073,Other
CTCFL,CTCFL (140690),0.0005857052809309787,0.0070197448231634095,0.33443834431089536,0.09462824469122186,0.09404253941029088,0.07318512869155823,0.09255996624131484,92,970,0.8897793328137282,Other
RCOR2,RCOR2 (283248),0.000587653053380377,0.0036479693195992182,0.5004966177157071,-0.3173908820120077,-0.3179785350653881,0.15709748176913987,0.16498682798171901,92,970,0.953973287947084,Other
GRAMD4,GRAMD4 (23151),0.0005959347522186687,0.005809446697707132,0.6818434577009622,0.10591620459388995,0.10532026984167128,0.10653765784255197,0.09846400883707793,92,970,0.9925115819228435,Other
BUD13,BUD13 (84811),0.0005965449219761387,0.0019084481953414076,0.5234693757200717,-0.7817859394737144,-0.7823824843956906,0.299323679945898,0.32529875342399983,92,970,0.9589704014319734,Other
ZNF843,ZNF843 (283933),0.0006007100972623969,0.005961310079665931,0.44715924003947666,0.0046733695921178505,0.004072659494855454,0.09307641455449348,0.1079129973948881,92,970,0.9341282337576647,Other
SLC25A45,SLC25A45 (283130),0.0006008963650481758,0.005228634432027165,0.49212557128428586,-0.09289474460971892,-0.09349564097476709,0.10364430537234627,0.12519176583058456,92,970,0.9513809919832344,Other
HSD17B13,HSD17B13 (345275),0.0006009337234951159,0.0067714641527964565,0.7309993817756992,0.04411805100919586,0.04351711728570074,0.08358583696513065,0.09362032420451791,92,970,0.9999744867960497,Other
ACP3,ACP3 (55),0.0006037422470293943,0.004226278507766088,0.6682765674848912,0.05742380762219653,0.056820065375167136,0.140775467536183,0.14490340015863973,92,970,0.9889291955497546,Other
KIAA0513,KIAA0513 (9764),0.0006082418542336767,0.005535813642260869,0.3495880946653982,-0.007684393660023335,-0.008292635514257012,0.10253338858713082,0.11675395216712418,92,970,0.8980063570369092,Other
